Identitas Pengguna,Jam Mulai,Jam Selesai,Durasi Kerja,Durasi Istirahat,Jenis Tugas,Tingkat Kesulitan Tugas,Interruptions,Deadline,Urgency,Importance
Mark Clark,2024-04-10 07:20:45,2024-04-10 08:20:45,1.0,2,Analitis,4,4,2024-04-22,4,3
Shane Webb,2024-04-10 02:31:13,2024-04-10 07:31:13,5.0,0,Analitis,2,3,2024-04-23,5,1
Brian Myers,2024-04-10 16:53:10,2024-04-10 20:53:10,4.0,0,Fisik,2,5,2024-04-24,2,4
Megan Wilson,2024-04-21 00:27:04,2024-04-21 08:27:04,8.0,2,Fisik,1,1,2024-04-23,4,5
David Bell,2024-04-20 15:03:39,2024-04-20 18:03:39,3.0,1,Kreatif,6,5,2024-04-24,1,5
Patrick Foster,2024-04-10 15:42:50,2024-04-10 22:42:50,7.0,1,Kreatif,4,2,2024-04-24,2,2
Robert Hanna,2024-04-05 04:33:44,2024-04-05 12:33:44,8.0,2,Kreatif,2,5,2024-04-19,3,2
Steve Hardy,2024-04-28 21:07:21,2024-04-29 05:07:21,8.0,2,Fisik,10,2,2024-05-09,4,4
Regina Watson,2024-04-12 10:41:37,2024-04-12 18:41:37,8.0,2,Fisik,4,0,2024-04-14,5,5
Helen Arias,2024-04-16 13:16:55,2024-04-16 19:16:55,6.0,1,Kreatif,3,0,2024-04-17,2,5
David Stevens,2024-04-14 20:39:00,2024-04-14 21:39:00,1.0,1,Administratif,2,3,2024-04-15,3,1
Michael Lane,2024-04-21 17:28:56,2024-04-21 18:28:56,1.0,0,Administratif,3,4,2024-04-27,3,2
Mr. Francisco Dixon,2024-04-02 21:53:08,2024-04-02 23:53:08,2.0,2,Kreatif,1,3,2024-04-14,4,5
Christopher Williams,2024-04-02 05:04:07,2024-04-02 07:04:07,2.0,0,Administratif,9,0,2024-04-07,1,4
Ruben Copeland,2024-04-19 07:48:14,2024-04-19 14:48:14,7.0,2,Fisik,9,0,2024-05-02,5,2
Christine Lin,2024-04-28 04:09:13,2024-04-28 10:09:13,6.0,1,Fisik,8,3,2024-05-12,3,2
Mallory Torres,2024-04-17 10:57:37,2024-04-17 12:57:37,2.0,2,Kreatif,1,4,2024-04-22,5,2
Kelly Lutz,2024-04-13 04:25:01,2024-04-13 12:25:01,8.0,0,Kreatif,1,4,2024-04-19,4,5
Gregory Perez,2024-04-20 18:01:33,2024-04-21 00:01:33,6.0,1,Administratif,5,5,2024-04-23,1,5
Shannon Rodriguez,2024-04-18 18:24:16,2024-04-18 23:24:16,5.0,2,Fisik,5,5,2024-04-29,2,2
Jose Wiggins,2024-04-19 21:53:23,2024-04-20 02:53:23,5.0,2,Administratif,5,0,2024-04-30,4,1
Mary Gray,2024-04-01 08:22:00,2024-04-01 11:22:00,3.0,1,Kreatif,8,1,2024-04-06,4,2
Megan Marshall,2024-04-29 14:11:34,2024-04-29 16:11:34,2.0,2,Administratif,6,1,2024-05-06,1,2
James Rice,2024-04-13 18:44:12,2024-04-14 00:44:12,6.0,0,Administratif,1,3,2024-04-24,2,5
Amber Smith,2024-04-19 16:28:48,2024-04-19 21:28:48,5.0,0,Kreatif,10,5,2024-04-27,4,2
Dustin Graves,2024-04-10 04:42:09,2024-04-10 07:42:09,3.0,2,Analitis,2,5,2024-04-22,1,3
