name,gender,age,job,task,work_days,difficulty,average_work_hour,average_rest,mood_before_work,mood_after_work,deadline,importance,sleep_average,productive_time,urgency,Gangguan dari atasan,Gangguan dari internal ,Gangguan dari kesehatan,Gangguan dari lingkungan sekitar ,Gangguan dari perangkat elektronik ,Gangguan dari teman atau rekan kerja,Gangguan internet,Gangguan jawa,MATI LAMPU 😡,Mood ,Panggilan Telepon,Tidak ada,ajakan bermain
Sheri Roman,0,33,1,6,1,4,1.6,4.0,0,0,4,2,8.1,0,4,0,1,1,1,1,0,0,0,0,0,0,1,1
Karen Clark,0,20,1,2,6,4,12.4,2.5,1,1,1,5,7.9,1,2,0,1,1,0,1,1,1,1,0,0,0,0,0
Danielle Hoffman,1,26,2,3,4,3,11.8,3.1,2,2,0,1,2.5,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0
Mr. Martin Allen,0,37,1,0,6,4,5.6,1.5,2,1,0,5,6.7,0,5,1,0,1,1,0,0,1,1,0,0,1,0,1
Emily Williams,0,23,1,4,7,5,3.9,1.3,2,2,0,1,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Donald Thomas,1,22,4,2,1,3,3.6,1.2,0,2,0,1,3.4,4,3,1,1,1,1,0,1,0,0,0,0,1,1,1
James Mcdaniel,0,34,3,4,7,2,3.8,3.9,1,0,1,4,6.3,2,5,0,1,0,1,1,0,1,0,1,0,0,1,1
Linda Bowen,1,30,2,1,4,2,10.9,1.1,1,0,3,3,6.3,4,2,0,0,0,0,1,0,0,0,1,0,1,1,1
Jamie Fields,1,25,3,3,6,5,4.5,1.3,2,0,0,4,7.8,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
Cathy Smith,1,32,1,4,7,1,11.3,3.2,0,1,3,2,2.7,2,2,1,0,1,1,1,0,1,1,1,0,1,0,0
Hannah Fisher,0,34,0,4,4,2,1.1,3.8,0,0,2,1,1.3,2,2,1,0,0,1,1,1,0,1,1,0,1,0,1
Yvette Nelson,0,24,3,5,7,1,10.5,3.3,1,1,1,4,1.6,2,5,0,1,0,1,1,0,1,1,0,1,1,0,1
Marie Mcdonald,0,35,0,4,2,5,3.6,3.7,0,1,2,3,3.2,3,4,1,0,0,1,0,0,0,0,0,1,0,1,0
Jeffrey Thomas,1,20,3,4,2,4,2.0,1.9,0,2,2,1,4.7,4,2,0,1,0,0,0,0,1,1,1,1,1,1,0
Claudia Curry,1,37,2,5,6,5,9.7,1.3,2,1,2,4,5.0,2,3,0,0,1,1,1,0,0,1,0,1,0,0,1
Jake Marshall,0,26,4,4,6,5,9.3,1.7,2,1,0,5,5.5,3,3,1,1,0,1,0,1,1,0,0,0,0,0,0
Jordan Jones,1,39,0,0,6,2,6.1,3.2,0,0,4,2,2.2,0,4,1,1,0,1,0,0,1,1,0,0,1,1,0
Linda Brown,0,30,2,3,1,1,6.2,2.6,1,2,2,5,5.0,1,4,0,1,0,1,0,0,0,0,1,1,0,0,0
Joseph Wheeler,1,23,2,0,6,5,8.8,1.2,1,2,0,1,3.2,4,5,0,0,1,1,0,1,0,1,1,0,0,0,0
Amanda Martinez,0,22,4,2,2,2,2.8,1.3,0,0,2,1,7.4,2,4,1,0,0,1,0,0,0,0,0,1,1,0,1
Leslie Shaw,1,27,1,4,4,1,1.8,3.2,0,1,2,3,5.2,0,3,0,1,1,0,1,0,0,1,1,1,0,1,0
Jordan Fuller,0,36,4,6,7,2,10.2,2.2,0,1,1,1,6.0,2,3,0,1,0,0,0,0,1,0,1,1,1,0,0
Lori Hernandez,1,38,1,6,7,3,7.2,2.4,1,1,4,4,4.2,0,3,1,0,0,1,0,1,1,1,1,0,1,1,0
Nathan Gordon,1,28,3,0,1,2,2.5,2.9,2,0,2,5,2.1,2,2,0,1,0,0,0,1,0,0,1,1,1,1,1
Sheri Torres,0,30,1,0,7,1,2.2,3.5,0,1,1,4,1.7,3,3,1,1,0,0,1,1,0,1,1,1,0,1,1
Alexis Fuentes,0,29,0,6,5,5,10.9,1.3,0,0,3,2,8.4,4,3,1,1,0,1,0,0,0,1,1,1,0,1,1
Mary Landry,1,24,4,3,7,4,7.7,2.6,2,1,3,1,6.3,0,5,1,1,0,0,0,1,0,0,0,0,1,0,0
Ms. Nicole Preston DDS,0,26,3,4,5,1,1.9,2.2,1,2,0,1,3.8,4,3,1,1,0,1,0,1,0,0,1,1,1,0,1
Abigail Bailey,1,25,1,6,5,4,11.3,2.4,2,1,4,5,6.5,4,5,0,1,0,0,0,1,0,1,0,1,0,0,1
Ryan Miller,1,35,2,3,3,1,9.6,1.8,0,2,3,1,5.5,3,2,1,0,1,0,0,0,1,1,1,1,1,1,0
Cynthia Williams,1,37,2,2,1,2,10.5,1.9,2,1,3,5,7.5,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1
Amy Jenkins,0,27,0,5,1,5,10.1,2.2,0,2,3,1,4.0,2,4,0,0,0,1,0,0,0,1,1,0,0,0,1
James Simpson,0,28,4,5,5,4,8.6,3.3,2,1,4,2,8.5,0,5,0,1,0,0,0,0,0,0,1,1,0,1,1
Ryan Ellis,1,31,4,6,6,2,4.7,1.0,2,1,3,1,7.5,2,3,1,0,0,1,0,0,1,0,1,1,0,0,1
Richard Mcmahon,0,36,3,3,4,4,1.9,3.7,0,1,4,2,4.2,2,3,1,1,0,0,1,1,1,0,0,1,1,1,0
Rhonda Freeman,0,36,3,0,1,4,9.9,3.2,2,2,2,4,6.6,1,4,0,1,1,0,0,0,1,0,1,0,0,0,1
Samantha Taylor,0,35,1,1,1,2,5.9,1.8,0,0,0,3,1.1,2,2,0,0,0,0,1,0,1,1,1,0,0,1,1
Tammy Cervantes,1,36,1,6,6,5,5.3,1.1,2,1,0,1,3.9,3,5,1,0,1,0,0,0,0,1,1,1,0,0,0
Joanne Smith,0,20,4,5,5,2,9.6,1.9,1,2,1,1,3.4,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0
Andrew Ortiz,0,35,0,0,4,1,3.2,2.1,1,1,3,3,7.9,1,5,0,1,1,0,0,1,1,0,0,0,1,0,1
